Time,Plasma,Cbb,Cbm,Cccsf,Cscsf,,Parameters,Sim 1
0,0,0,0,0,0,,Vbb,0.065
0.25,0,0,0,0,0,,Vbm,1.1041
45.6057663,0.190763949,0.192198317,0.080269979,0.038492044,0.041028808,,,
45.84712219,0.189388612,0.19129801,0.079688289,0.038201831,0.040730308,,,
46.08015442,0.188037714,0.189530241,0.079110793,0.037935885,0.040433793,,,
46.32123947,0.186689112,0.188484136,0.078537846,0.037650775,0.040139817,,,
46.56270981,0.185353601,0.187035346,0.077968913,0.037380154,0.039847778,,,
46.80392075,0.184032714,0.185446318,0.077405529,0.037119135,0.039558565,,,
47.0449028,0.182713289,0.184334638,0.076845951,0.036845038,0.039271441,,,
47.28557968,0.181404218,0.183161418,0.076290169,0.036574828,0.038986264,,,
47.52626038,0.180107321,0.181861824,0.07573879,0.036307705,0.038703346,,,
47.76651764,0.178826139,0.180274336,0.075191775,0.036056041,0.038422595,,,
48,0.177586508,0.17815342,0.074657118,0.035831119,0.038148016,,,
